"","ID","Gender","Confederate","Conf_session","BPQ","BCQ","Conf_BPQ","Conf_BCQ","video_code","M_similarity","M_entropy","Time","Role"
"1","114","male","B","4",46,11,94,8,"sub-114-Cl_1",0.887958554441606,0.0555162488205094,"1","Following"
"2","114","male","B","4",46,11,94,8,"sub-114-Cl_2",0.907114441182184,0.148986483073115,"2","Following"
"3","114","male","B","4",46,11,94,8,"sub-114-Cl_3",0.628564282656347,0.106808733772047,"3","Following"
"4","114","male","B","4",46,11,94,8,"sub-114-Cl_4",0.840611375601846,0.0384088163162783,"4","Following"
"5","114","male","B","4",46,11,94,8,"sub-114-Cl_5",0.735215617281872,0.0636882258926634,"5","Following"
"6","114","male","B","4",46,11,94,8,"sub-114-Cl_6",0.557028399453462,0.0873906027532342,"6","Following"
"7","114","male","B","4",46,11,94,8,"sub-114-Cl_7",0.81744247145518,0.10515621707895,"7","Following"
"8","114","male","B","4",46,11,94,8,"sub-114-Cl_8",0.77818361083915,0.0600730419796142,"8","Following"
"9","114","male","B","4",46,11,94,8,"sub-114-Cl_9",0.700890166841643,0.0560076261766072,"9","Following"
"10","114","male","B","4",46,11,94,8,"sub-114-Cl_10",0.851648582187633,0.0228558687137354,"10","Following"
"11","114","male","B","4",46,11,94,8,"sub-114-Pl_1",0.823903400168497,0.139020113098875,"1","Leading"
"12","114","male","B","4",46,11,94,8,"sub-114-Pl_2",0.85089493013643,0.248173293479771,"2","Leading"
"13","114","male","B","4",46,11,94,8,"sub-114-Pl_3",0.769084276874123,0.235010465303053,"3","Leading"
"14","114","male","B","4",46,11,94,8,"sub-114-Pl_4",0.876525738774788,0.207824249857877,"4","Leading"
"15","114","male","B","4",46,11,94,8,"sub-114-Pl_5",0.854086801489761,0.222959296562836,"5","Leading"
"16","114","male","B","4",46,11,94,8,"sub-114-Pl_6",0.822727866712377,0.193844390353979,"6","Leading"
"17","114","male","B","4",46,11,94,8,"sub-114-Pl_7",0.892468952699524,0.277866409532318,"7","Leading"
"18","114","male","B","4",46,11,94,8,"sub-114-Pl_8",0.951041729478269,0.271435525799884,"8","Leading"
"19","114","male","B","4",46,11,94,8,"sub-114-Pl_9",0.854483678854934,0.297865484124735,"9","Leading"
"20","114","male","B","4",46,11,94,8,"sub-114-Pl_10",0.752277770758113,0.229929114380575,"10","Leading"
"21","109","female","B","2",88,5,94,8,"sub-109-Cl_1",0.712902433764634,0.0902055817529487,"1","Following"
"22","109","female","B","2",88,5,94,8,"sub-109-Cl_2",0.697965734790879,0.121554158478706,"2","Following"
"23","109","female","B","2",88,5,94,8,"sub-109-Cl_3",0.569463623455305,0.128014038403335,"3","Following"
"24","109","female","B","2",88,5,94,8,"sub-109-Cl_4",0.652839117213775,0.0843626612545462,"4","Following"
"25","109","female","B","2",88,5,94,8,"sub-109-Cl_5",0.7733214540194,0.0506203813921168,"5","Following"
"26","109","female","B","2",88,5,94,8,"sub-109-Cl_6",0.801025708672821,0.0664178293891487,"6","Following"
"27","109","female","B","2",88,5,94,8,"sub-109-Cl_7",0.885854530716195,0.071088693056218,"7","Following"
"28","109","female","B","2",88,5,94,8,"sub-109-Cl_8",0.877716042005383,0.0349723047352042,"8","Following"
"29","109","female","B","2",88,5,94,8,"sub-109-Cl_9",0.818626493091555,0.0686403842800667,"9","Following"
"30","109","female","B","2",88,5,94,8,"sub-109-Cl_10",0.909937806938926,0.0387397491628005,"10","Following"
"31","109","female","B","2",88,5,94,8,"sub-109-Pl_1",0.851307782964768,0.0651482386161557,"1","Leading"
"32","109","female","B","2",88,5,94,8,"sub-109-Pl_2",0.732334955089626,0.095366015373457,"2","Leading"
"33","109","female","B","2",88,5,94,8,"sub-109-Pl_3",0.612063327690006,0.110176593660246,"3","Leading"
"34","109","female","B","2",88,5,94,8,"sub-109-Pl_4",0.670215753092053,0.114202959538509,"4","Leading"
"35","109","female","B","2",88,5,94,8,"sub-109-Pl_5",0.671670635819559,0.129828266371298,"5","Leading"
"36","109","female","B","2",88,5,94,8,"sub-109-Pl_6",0.566479450697934,0.193634457682774,"6","Leading"
"37","109","female","B","2",88,5,94,8,"sub-109-Pl_7",0.62163725662586,0.135731989653997,"7","Leading"
"38","109","female","B","2",88,5,94,8,"sub-109-Pl_8",0.531881331159011,0.115429612705125,"8","Leading"
"39","109","female","B","2",88,5,94,8,"sub-109-Pl_9",0.612152078179049,0.178814455737327,"9","Leading"
"40","109","female","B","2",88,5,94,8,"sub-109-Pl_10",0.738753435517274,0.146184327437097,"10","Leading"
"41","116","female","B","6",74,2,94,8,"sub-116-Cl_1",0.69902416483577,0.0569009601778044,"1","Following"
"42","116","female","B","6",74,2,94,8,"sub-116-Cl_2",0.919023449630531,0.0370449894562966,"2","Following"
"43","116","female","B","6",74,2,94,8,"sub-116-Cl_3",0.701409462936893,0.0744276210743012,"3","Following"
"44","116","female","B","6",74,2,94,8,"sub-116-Cl_4",0.708845502782933,0.0959268148761117,"4","Following"
"45","116","female","B","6",74,2,94,8,"sub-116-Cl_5",0.735066252930979,0.040926578493489,"5","Following"
"46","116","female","B","6",74,2,94,8,"sub-116-Cl_6",0.390536763970715,0.0797491480351526,"6","Following"
"47","116","female","B","6",74,2,94,8,"sub-116-Cl_7",0.687837556816006,0.0662675250572752,"7","Following"
"48","116","female","B","6",74,2,94,8,"sub-116-Cl_8",0.794679625984965,0.0317717914964179,"8","Following"
"49","116","female","B","6",74,2,94,8,"sub-116-Cl_9",0.7174890023766,0.0709375337824537,"9","Following"
"50","116","female","B","6",74,2,94,8,"sub-116-Cl_10",0.62750858104107,0.0812842968024986,"10","Following"
"51","116","female","B","6",74,2,94,8,"sub-116-Pl_1",0.649893693311708,0.0710306085178787,"1","Leading"
"52","116","female","B","6",74,2,94,8,"sub-116-Pl_2",0.87631792957859,0.0789007251311813,"2","Leading"
"53","116","female","B","6",74,2,94,8,"sub-116-Pl_3",0.859739887311458,0.108516278888757,"3","Leading"
"54","116","female","B","6",74,2,94,8,"sub-116-Pl_4",0.845160553239299,0.106142233848184,"4","Leading"
"55","116","female","B","6",74,2,94,8,"sub-116-Pl_5",0.921270466312276,0.0849631037199448,"5","Leading"
"56","116","female","B","6",74,2,94,8,"sub-116-Pl_6",0.954857475556731,0.100470024225163,"6","Leading"
"57","116","female","B","6",74,2,94,8,"sub-116-Pl_7",0.802020207904142,0.0612593583876051,"7","Leading"
"58","116","female","B","6",74,2,94,8,"sub-116-Pl_8",0.906632466743439,0.0797653870833156,"8","Leading"
"59","116","female","B","6",74,2,94,8,"sub-116-Pl_9",0.941108119752666,0.118445896837726,"9","Leading"
"60","126","male","A","13",93,10,38,8,"sub-126-Cl_1",0.904390035571717,0.05583183462646,"1","Following"
"61","126","male","A","13",93,10,38,8,"sub-126-Cl_2",0.793189831025604,0.030562553817278,"2","Following"
"62","126","male","A","13",93,10,38,8,"sub-126-Cl_3",0.92253946469316,0.0392792986575192,"3","Following"
"63","126","male","A","13",93,10,38,8,"sub-126-Cl_4",0.793765239848919,0.0337797842560118,"4","Following"
"64","126","male","A","13",93,10,38,8,"sub-126-Cl_5",0.807107157624947,0.0419879894073176,"5","Following"
"65","126","male","A","13",93,10,38,8,"sub-126-Cl_6",0.824533989684999,0.0304578011513306,"6","Following"
"66","126","male","A","13",93,10,38,8,"sub-126-Cl_7",0.859315731314127,0.025848143886093,"7","Following"
"67","126","male","A","13",93,10,38,8,"sub-126-Cl_8",0.781054903938497,0.0532484483382184,"8","Following"
"68","126","male","A","13",93,10,38,8,"sub-126-Cl_9",0.701058361738221,0.0363352661954248,"9","Following"
"69","126","male","A","13",93,10,38,8,"sub-126-Cl_10",0.814178394273577,0.0328112945518584,"10","Following"
"70","126","male","A","13",93,10,38,8,"sub-126-Pl_1",0.905564906660822,0.05468149159383,"1","Leading"
"71","126","male","A","13",93,10,38,8,"sub-126-Pl_2",0.908665639324206,0.0573118979498549,"2","Leading"
"72","126","male","A","13",93,10,38,8,"sub-126-Pl_3",0.841951217854537,0.0623504901636553,"3","Leading"
"73","126","male","A","13",93,10,38,8,"sub-126-Pl_4",0.828016016547472,0.0297728001826571,"4","Leading"
"74","126","male","A","13",93,10,38,8,"sub-126-Pl_5",0.948487436492648,0.0324885869768027,"5","Leading"
"75","126","male","A","13",93,10,38,8,"sub-126-Pl_6",0.936401836052331,0.0517560397245,"6","Leading"
"76","126","male","A","13",93,10,38,8,"sub-126-Pl_7",0.932236145492444,0.026337859207983,"7","Leading"
"77","126","male","A","13",93,10,38,8,"sub-126-Pl_8",0.926855806425092,0.0355856144826557,"8","Leading"
"78","126","male","A","13",93,10,38,8,"sub-126-Pl_9",0.929340660864578,0.0332644250766635,"9","Leading"
"79","126","male","A","13",93,10,38,8,"sub-126-Pl_10",0.921528160957098,0.0356120634421598,"10","Leading"
"80","125","male","B","13",89,11,94,8,"sub-125-Cl_1",0.705184263892105,0.0456724932083254,"1","Following"
"81","125","male","B","13",89,11,94,8,"sub-125-Cl_2",0.747536731655178,0.0241613800981665,"2","Following"
"82","125","male","B","13",89,11,94,8,"sub-125-Cl_3",0.967107796963545,0.0294014142678919,"3","Following"
"83","125","male","B","13",89,11,94,8,"sub-125-Cl_4",0.871355235514366,0.0373042725759029,"4","Following"
"84","125","male","B","13",89,11,94,8,"sub-125-Cl_5",0.746612773614744,0.0242720430341254,"5","Following"
"85","125","male","B","13",89,11,94,8,"sub-125-Cl_6",0.763527440284242,0.0252275292488246,"6","Following"
"86","125","male","B","13",89,11,94,8,"sub-125-Cl_7",0.639032986219957,0.0245968451320825,"7","Following"
"87","125","male","B","13",89,11,94,8,"sub-125-Cl_8",0.767740160358732,0.0278420183625723,"8","Following"
"88","125","male","B","13",89,11,94,8,"sub-125-Cl_9",0.803340750082251,0.0305652062091141,"9","Following"
"89","125","male","B","13",89,11,94,8,"sub-125-Cl_10",0.936464245897937,0.0272199358654707,"10","Following"
"90","125","male","B","13",89,11,94,8,"sub-125-Pl_1",0.887999274067583,0.0211124424108162,"1","Leading"
"91","125","male","B","13",89,11,94,8,"sub-125-Pl_2",0.91487275389063,0.052313245145661,"2","Leading"
"92","125","male","B","13",89,11,94,8,"sub-125-Pl_3",0.937094490417375,0.0384244005583997,"3","Leading"
"93","125","male","B","13",89,11,94,8,"sub-125-Pl_4",0.951130858704704,0.039508867112961,"4","Leading"
"94","125","male","B","13",89,11,94,8,"sub-125-Pl_5",0.946929417312857,0.0366487309792558,"5","Leading"
"95","125","male","B","13",89,11,94,8,"sub-125-Pl_6",0.950478031415442,0.0357181859240794,"6","Leading"
"96","125","male","B","13",89,11,94,8,"sub-125-Pl_7",0.930534281848722,0.0377276707197848,"7","Leading"
"97","125","male","B","13",89,11,94,8,"sub-125-Pl_8",0.980695822745695,0.0463947237147449,"8","Leading"
"98","125","male","B","13",89,11,94,8,"sub-125-Pl_9",0.946219309493185,0.0457450820318811,"9","Leading"
"99","125","male","B","13",89,11,94,8,"sub-125-Pl_10",0.918693695100806,0.0670460967495576,"10","Leading"
"100","111","male","A","8",58,8,38,8,"sub-111-Cl_1",0.637921145327572,0.0677703013000097,"1","Following"
"101","111","male","A","8",58,8,38,8,"sub-111-Cl_2",0.642727493921368,0.0591617309640749,"2","Following"
"102","111","male","A","8",58,8,38,8,"sub-111-Cl_3",0.687152242490124,0.0596989423273292,"3","Following"
"103","111","male","A","8",58,8,38,8,"sub-111-Cl_4",0.755318834625246,0.0515221384893821,"4","Following"
"104","111","male","A","8",58,8,38,8,"sub-111-Cl_5",0.72941700116741,0.0595753485029865,"5","Following"
"105","111","male","A","8",58,8,38,8,"sub-111-Cl_6",0.822392964093615,0.0331844698298937,"6","Following"
"106","111","male","A","8",58,8,38,8,"sub-111-Cl_7",0.818398189177402,0.0816559937336382,"7","Following"
"107","111","male","A","8",58,8,38,8,"sub-111-Cl_8",0.776943082866893,0.0479131681462427,"8","Following"
"108","111","male","A","8",58,8,38,8,"sub-111-Cl_9",0.709189642177844,0.052816411335775,"9","Following"
"109","111","male","A","8",58,8,38,8,"sub-111-Cl_10",0.820757225215617,0.0619939736779749,"10","Following"
"110","111","male","A","8",58,8,38,8,"sub-111-Pl_1",0.740788507426016,0.0661117214156663,"1","Leading"
"111","111","male","A","8",58,8,38,8,"sub-111-Pl_2",0.626162939387114,0.101741987618826,"2","Leading"
"112","111","male","A","8",58,8,38,8,"sub-111-Pl_3",0.726484222414287,0.066446257644402,"3","Leading"
"113","111","male","A","8",58,8,38,8,"sub-111-Pl_4",0.756550892820097,0.0815153343465236,"4","Leading"
"114","111","male","A","8",58,8,38,8,"sub-111-Pl_5",0.748651339205311,0.061741534279666,"5","Leading"
"115","111","male","A","8",58,8,38,8,"sub-111-Pl_6",0.853400765888582,0.065754214792907,"6","Leading"
"116","111","male","A","8",58,8,38,8,"sub-111-Pl_7",0.777967597497149,0.0836898921639214,"7","Leading"
"117","111","male","A","8",58,8,38,8,"sub-111-Pl_8",0.816126961538642,0.0474326884144779,"8","Leading"
"118","111","male","A","8",58,8,38,8,"sub-111-Pl_9",0.730570286482447,0.0629754610396926,"9","Leading"
"119","111","male","A","8",58,8,38,8,"sub-111-Pl_10",0.749920100312217,0.0666804339941355,"10","Leading"
"120","101","male","A","1",43,10,38,8,"sub-101-Cl_1",0.776771285687672,0.0617275234091811,"1","Following"
"121","101","male","A","1",43,10,38,8,"sub-101-Cl_2",0.808419123311888,0.0731022121537497,"2","Following"
"122","101","male","A","1",43,10,38,8,"sub-101-Cl_3",0.826780441393928,0.0336035549637162,"3","Following"
"123","101","male","A","1",43,10,38,8,"sub-101-Cl_4",0.757930254613086,0.0477120768693018,"4","Following"
"124","101","male","A","1",43,10,38,8,"sub-101-Cl_5",0.712388958190558,0.0706344600306975,"5","Following"
"125","101","male","A","1",43,10,38,8,"sub-101-Cl_6",0.710602181804717,0.054612454740837,"6","Following"
"126","101","male","A","1",43,10,38,8,"sub-101-Cl_7",0.726109774011615,0.0475725332034138,"7","Following"
"127","101","male","A","1",43,10,38,8,"sub-101-Cl_8",0.775314668780876,0.0517515943774306,"8","Following"
"128","101","male","A","1",43,10,38,8,"sub-101-Cl_9",0.757393851461112,0.0696605564206506,"9","Following"
"129","101","male","A","1",43,10,38,8,"sub-101-Cl_10",0.770329109156606,0.0498824327927189,"10","Following"
"130","101","male","A","1",43,10,38,8,"sub-101-Pl_1",0.867650182445499,0.0374143662080365,"1","Leading"
"131","101","male","A","1",43,10,38,8,"sub-101-Pl_2",0.820417224081314,0.0532366805812647,"2","Leading"
"132","101","male","A","1",43,10,38,8,"sub-101-Pl_3",0.849206647811577,0.0602853723365633,"3","Leading"
"133","101","male","A","1",43,10,38,8,"sub-101-Pl_4",0.803725158173319,0.0601563539062822,"4","Leading"
"134","101","male","A","1",43,10,38,8,"sub-101-Pl_5",0.767967600959398,0.066081941259083,"5","Leading"
"135","101","male","A","1",43,10,38,8,"sub-101-Pl_6",0.799154235702349,0.0518707806603673,"6","Leading"
"136","101","male","A","1",43,10,38,8,"sub-101-Pl_7",0.739877138580361,0.067058219645111,"7","Leading"
"137","101","male","A","1",43,10,38,8,"sub-101-Pl_8",0.746315469350266,0.0621992451630499,"8","Leading"
"138","101","male","A","1",43,10,38,8,"sub-101-Pl_9",0.793403558620759,0.0490964770767531,"9","Leading"
"139","101","male","A","1",43,10,38,8,"sub-101-Pl_10",0.934956302635832,0.0484086662887131,"10","Leading"
"140","121","male","B","9",72,10,94,8,"sub-121-Cl_1",0.912044953086199,0.127620135846054,"1","Following"
"141","121","male","B","9",72,10,94,8,"sub-121-Cl_2",0.759866143978144,0.0442762397595679,"2","Following"
"142","121","male","B","9",72,10,94,8,"sub-121-Cl_3",0.843011445203029,0.0632680404827491,"3","Following"
"143","121","male","B","9",72,10,94,8,"sub-121-Cl_4",0.789156583479452,0.148946854733199,"4","Following"
"144","121","male","B","9",72,10,94,8,"sub-121-Cl_5",0.919976439280406,0.0838231340217581,"5","Following"
"145","121","male","B","9",72,10,94,8,"sub-121-Cl_6",0.848420855749494,0.0783253752568739,"6","Following"
"146","121","male","B","9",72,10,94,8,"sub-121-Cl_7",0.851933114794761,0.135054089661074,"7","Following"
"147","121","male","B","9",72,10,94,8,"sub-121-Cl_8",0.839927288760533,0.118931993798939,"8","Following"
"148","121","male","B","9",72,10,94,8,"sub-121-Cl_9",0.821935258480249,0.0769383062315785,"9","Following"
"149","121","male","B","9",72,10,94,8,"sub-121-Cl_10",0.78358571248179,0.0844726478724179,"10","Following"
"150","121","male","B","9",72,10,94,8,"sub-121-Pl_1",0.883227743482212,0.0931611804843716,"1","Leading"
"151","121","male","B","9",72,10,94,8,"sub-121-Pl_2",0.691598035624955,0.0723753646828283,"2","Leading"
"152","121","male","B","9",72,10,94,8,"sub-121-Pl_3",0.847788377848779,0.0815629262452598,"3","Leading"
"153","121","male","B","9",72,10,94,8,"sub-121-Pl_4",0.742609054382804,0.0508063037612896,"4","Leading"
"154","121","male","B","9",72,10,94,8,"sub-121-Pl_5",0.799584371271841,0.076445438268622,"5","Leading"
"155","121","male","B","9",72,10,94,8,"sub-121-Pl_6",0.675825388100831,0.196644215763417,"6","Leading"
"156","121","male","B","9",72,10,94,8,"sub-121-Pl_7",0.830532016825132,0.0369613010690706,"7","Leading"
"157","121","male","B","9",72,10,94,8,"sub-121-Pl_8",0.909509593390715,0.0454299015412674,"8","Leading"
"158","121","male","B","9",72,10,94,8,"sub-121-Pl_9",0.791674985898146,0.03055587913799,"9","Leading"
"159","121","male","B","9",72,10,94,8,"sub-121-Pl_10",0.813016467765489,0.060024856770254,"10","Leading"
"160","124","male","B","12",70,7,94,8,"sub-124-Cl_1",0.49649579134683,0.0840831511038954,"1","Following"
"161","124","male","B","12",70,7,94,8,"sub-124-Cl_2",0.730756299827385,0.0499937420787036,"2","Following"
"162","124","male","B","12",70,7,94,8,"sub-124-Cl_3",0.916932661835261,0.0350551105708296,"3","Following"
"163","124","male","B","12",70,7,94,8,"sub-124-Cl_4",0.803693823196888,0.0406493201927384,"4","Following"
"164","124","male","B","12",70,7,94,8,"sub-124-Cl_5",0.66745886319777,0.0439594292101624,"5","Following"
"165","124","male","B","12",70,7,94,8,"sub-124-Cl_6",0.798504701822712,0.0376296370735945,"6","Following"
"166","124","male","B","12",70,7,94,8,"sub-124-Cl_7",0.846036344112997,0.0397415098366072,"7","Following"
"167","124","male","B","12",70,7,94,8,"sub-124-Cl_8",0.868709343839487,0.05828816057185,"8","Following"
"168","124","male","B","12",70,7,94,8,"sub-124-Cl_9",0.815681288009374,0.0674932070114226,"9","Following"
"169","124","male","B","12",70,7,94,8,"sub-124-Cl_10",0.788550835452089,0.0618379396316792,"10","Following"
"170","124","male","B","12",70,7,94,8,"sub-124-Pl_1",0.888683910985656,0.0378358974310859,"1","Leading"
"171","124","male","B","12",70,7,94,8,"sub-124-Pl_2",0.816874892865481,0.0362990343400049,"2","Leading"
"172","124","male","B","12",70,7,94,8,"sub-124-Pl_3",0.88217564544243,0.0538128765295558,"3","Leading"
"173","124","male","B","12",70,7,94,8,"sub-124-Pl_4",0.713084401128314,0.0326133388272936,"4","Leading"
"174","124","male","B","12",70,7,94,8,"sub-124-Pl_5",0.679411693112965,0.0678286171216724,"5","Leading"
"175","124","male","B","12",70,7,94,8,"sub-124-Pl_6",0.79260220264114,0.0407604383881097,"6","Leading"
"176","124","male","B","12",70,7,94,8,"sub-124-Pl_7",0.803399592558473,0.0646494988278507,"7","Leading"
"177","124","male","B","12",70,7,94,8,"sub-124-Pl_8",0.701872206693709,0.0659920612234844,"8","Leading"
"178","124","male","B","12",70,7,94,8,"sub-124-Pl_9",0.840679666933355,0.0509940094512309,"9","Leading"
"179","124","male","B","12",70,7,94,8,"sub-124-Pl_10",0.759028588819853,0.0447025053436411,"10","Leading"
"180","106","female","A","6",58,12,38,8,"sub-106-Cl_1",0.877675509317811,0.0564601288337579,"1","Following"
"181","106","female","A","6",58,12,38,8,"sub-106-Cl_2",0.810013336903488,0.0743084732287159,"2","Following"
"182","106","female","A","6",58,12,38,8,"sub-106-Cl_3",0.694213616565369,0.0915264252145945,"3","Following"
"183","106","female","A","6",58,12,38,8,"sub-106-Cl_4",0.873322234063524,0.0503684506651539,"4","Following"
"184","106","female","A","6",58,12,38,8,"sub-106-Cl_5",0.750391709556686,0.115585483575107,"5","Following"
"185","106","female","A","6",58,12,38,8,"sub-106-Cl_6",0.764877713926124,0.127861718457529,"6","Following"
"186","106","female","A","6",58,12,38,8,"sub-106-Cl_7",0.750002754853464,0.12993500549687,"7","Following"
